Category,Job ID,Sub ID,Budget Avg,Country Normalized,Absolute Date,Job Type,Experience Level,Skill
Ecommerce Development,1.981014048779932e+18,~021981014048779931762,,India,2025-10-22T15:05:29.587Z,Fixed,Expert,No-Code Development
Ecommerce Development,1.981014048779932e+18,~021981014048779931762,,India,2025-10-22T15:05:29.587Z,Fixed,Expert,Progressive Web App
Mobile Development,1.981014048779932e+18,~021981014048779931762,,India,2025-10-21T21:36:00.106Z,Fixed,Expert,No-Code Development
Mobile Development,1.981014048779932e+18,~021981014048779931762,,India,2025-10-21T21:36:00.106Z,Fixed,Expert,Progressive Web App
Desktop Application Development,1.9835453016052813e+18,~021983545301605281481,700.0,United Kingdom,2025-10-29T14:43:47.316Z,Fixed,Intermediate,HTML5
Desktop Application Development,1.9835453016052813e+18,~021983545301605281481,700.0,United Kingdom,2025-10-29T14:43:47.316Z,Fixed,Intermediate,Java
Desktop Application Development,1.9835453016052813e+18,~021983545301605281481,700.0,United Kingdom,2025-10-29T14:43:47.316Z,Fixed,Intermediate,JavaScript
Desktop Application Development,1.9835453016052813e+18,~021983545301605281481,700.0,United Kingdom,2025-10-29T14:43:47.316Z,Fixed,Intermediate,PHP
QA Testing,1.9835453016052813e+18,~021983545301605281481,700.0,United Kingdom,2025-10-29T14:43:47.316Z,Fixed,Intermediate,HTML5
QA Testing,1.9835453016052813e+18,~021983545301605281481,700.0,United Kingdom,2025-10-29T14:43:47.316Z,Fixed,Intermediate,Java
QA Testing,1.9835453016052813e+18,~021983545301605281481,700.0,United Kingdom,2025-10-29T14:43:47.316Z,Fixed,Intermediate,JavaScript
QA Testing,1.9835453016052813e+18,~021983545301605281481,700.0,United Kingdom,2025-10-29T14:43:47.316Z,Fixed,Intermediate,PHP
Ecommerce Development,1.9872774257320504e+18,~021987277425732050218,,United States,2025-11-08T21:53:55.092Z,Fixed,Expert,Elementor
Ecommerce Development,1.9872774257320504e+18,~021987277425732050218,,United States,2025-11-08T21:53:55.092Z,Fixed,Expert,Web Design
Ecommerce Development,1.9872774257320504e+18,~021987277425732050218,,United States,2025-11-08T21:53:55.092Z,Fixed,Expert,WordPress
Web Development,1.9872774257320504e+18,~021987277425732050218,,United States,2025-11-05T16:16:00.468Z,Fixed,Expert,Elementor
Web Development,1.9872774257320504e+18,~021987277425732050218,,United States,2025-11-05T16:16:00.468Z,Fixed,Expert,Web Design
Web Development,1.9872774257320504e+18,~021987277425732050218,,United States,2025-11-05T16:16:00.468Z,Fixed,Expert,WordPress
