Category,Job ID,Sub ID,Budget Avg,Country Normalized,Absolute Date,Job Type,Experience Level,Allowed Applicant Country
Ecommerce Development,1982169892366917364,~021982169892366917364,16.0,United States,2025-10-25T19:38:24.158Z,Hourly,Intermediate,El Salvador
Ecommerce Development,1982169892366917364,~021982169892366917364,16.0,United States,2025-10-25T19:38:24.158Z,Hourly,Intermediate,Greece
Ecommerce Development,1982169892366917364,~021982169892366917364,16.0,United States,2025-10-25T19:38:24.158Z,Hourly,Intermediate,Guatemala
Ecommerce Development,1982169892366917364,~021982169892366917364,16.0,United States,2025-10-25T19:38:24.158Z,Hourly,Intermediate,Hungary
Ecommerce Development,1982169892366917364,~021982169892366917364,16.0,United States,2025-10-25T19:38:24.158Z,Hourly,Intermediate,Malaysia
Ecommerce Development,1982169892366917364,~021982169892366917364,16.0,United States,2025-10-25T19:38:24.158Z,Hourly,Intermediate,Panama
Ecommerce Development,1982169892366917364,~021982169892366917364,16.0,United States,2025-10-25T19:38:24.158Z,Hourly,Intermediate,Paraguay
Ecommerce Development,1982169892366917364,~021982169892366917364,16.0,United States,2025-10-25T19:38:24.158Z,Hourly,Intermediate,Peru
Ecommerce Development,1982169892366917364,~021982169892366917364,16.0,United States,2025-10-25T19:38:24.158Z,Hourly,Intermediate,Philippines
Ecommerce Development,1982169892366917364,~021982169892366917364,16.0,United States,2025-10-25T19:38:24.158Z,Hourly,Intermediate,Poland
Ecommerce Development,1982169892366917364,~021982169892366917364,16.0,United States,2025-10-25T19:38:24.158Z,Hourly,Intermediate,Portugal
Ecommerce Development,1982169892366917364,~021982169892366917364,16.0,United States,2025-10-25T19:38:24.158Z,Hourly,Intermediate,Romania
Ecommerce Development,1982169892366917364,~021982169892366917364,16.0,United States,2025-10-25T19:38:24.158Z,Hourly,Intermediate,Spain
DevOps & Solution Architecture,1979213436620860865,~021979213436620860865,100.0,United States,2025-10-17T15:50:30.167Z,Fixed,Entry Level,Kenya
DevOps & Solution Architecture,1979213436620860865,~021979213436620860865,100.0,United States,2025-10-17T15:50:30.167Z,Fixed,Entry Level,Ethiopia
DevOps & Solution Architecture,1979213436620860865,~021979213436620860865,100.0,United States,2025-10-17T15:50:30.167Z,Fixed,Entry Level,Somalia
DevOps & Solution Architecture,1979213436620860865,~021979213436620860865,100.0,United States,2025-10-17T15:50:30.167Z,Fixed,Entry Level,Chad
DevOps & Solution Architecture,1979213436620860865,~021979213436620860865,100.0,United States,2025-10-17T15:50:30.167Z,Fixed,Entry Level,Indonesia
DevOps & Solution Architecture,1979213436620860865,~021979213436620860865,100.0,United States,2025-10-17T15:50:30.167Z,Fixed,Entry Level,Central African Republic
DevOps & Solution Architecture,1979213436620860865,~021979213436620860865,100.0,United States,2025-10-17T15:50:30.167Z,Fixed,Entry Level,South Africa
DevOps & Solution Architecture,1979213436620860865,~021979213436620860865,100.0,United States,2025-10-17T15:50:30.167Z,Fixed,Entry Level,Egypt
DevOps & Solution Architecture,1979213436620860865,~021979213436620860865,100.0,United States,2025-10-17T15:50:30.167Z,Fixed,Entry Level,Turkey
DevOps & Solution Architecture,1979213436620860865,~021979213436620860865,100.0,United States,2025-10-17T15:50:30.167Z,Fixed,Entry Level,Georgia
Web Development,1971399721957733290,~021971399721957733290,8.0,United States,2025-09-26T02:21:35.441Z,Hourly,Expert,Egypt
Web Development,1986110065552839732,~021986110065552839732,,Ukraine,2025-11-05T16:35:14.699Z,Hourly,Expert,Ukraine
Scripts & Utilities,1987968745098315627,~021987968745098315627,20.0,United States,2025-11-10T19:40:58.423Z,Fixed,Expert,Pakistan
Scripts & Utilities,1987968745098315627,~021987968745098315627,20.0,United States,2025-11-10T19:40:58.423Z,Fixed,Expert,Nigeria
Scripts & Utilities,1987968745098315627,~021987968745098315627,20.0,United States,2025-11-10T19:40:58.423Z,Fixed,Expert,Philippines
Web Development,1974007465093459622,~021974007465093459622,77.5,United States,2025-10-03T07:03:49.848Z,Hourly,Expert,United States
Web Development,1980549124776051554,~021980549124776051554,32.5,Croatia,2025-10-21T08:18:03.043Z,Hourly,Entry Level,Croatia
Web Development,1980549124776051554,~021980549124776051554,32.5,Croatia,2025-10-21T08:18:03.043Z,Hourly,Entry Level,Bosnia and Herzegovina
Web Development,1980549124776051554,~021980549124776051554,32.5,Croatia,2025-10-21T08:18:03.043Z,Hourly,Entry Level,Serbia
Web Development,1983494630340292297,~021983494630340292297,24.0,United States,2025-10-29T11:22:26.310Z,Hourly,Expert,Brazil
Web & Mobile Design,1975961199105324203,~021975961199105324203,10.0,United States,2025-10-08T16:27:16.328Z,Hourly,Intermediate,India
Web & Mobile Design,1975961199105324203,~021975961199105324203,10.0,United States,2025-10-08T16:27:16.328Z,Hourly,Intermediate,Philippines
Web Development,1975432343939669601,~021975432343939669601,,India,2025-10-07T05:25:47.440Z,Hourly,Intermediate,India
Web & Mobile Design,1987463991304348811,~021987463991304348811,9.5,Israel,2025-11-09T10:15:15.811Z,Hourly,Expert,India
Web Development,1985272358803574810,~021985272358803574810,9.5,Philippines,2025-11-03T09:06:29.817Z,Hourly,Intermediate,Philippines
Web & Mobile Design,1988574533990877035,~021988574533990877035,50.0,Italy,2025-11-12T11:48:09.750Z,Fixed,Entry Level,Italy
DevOps & Solution Architecture,1978554114845692742,~021978554114845692742,16.0,Ukraine,2025-10-15T20:10:35.637Z,Hourly,Intermediate,Armenia
DevOps & Solution Architecture,1978554114845692742,~021978554114845692742,16.0,Ukraine,2025-10-15T20:10:35.637Z,Hourly,Intermediate,Ukraine
Web Development,1983990408601562815,~021983990408601562815,15.0,Portugal,2025-10-30T20:12:29.051Z,Hourly,Intermediate,Brazil
Web Development,1990455230821103587,~021990455230821103587,50.0,Georgia,2025-11-17T16:21:22.834Z,Hourly,Intermediate,Australia
Web Development,1990455230821103587,~021990455230821103587,50.0,Georgia,2025-11-17T16:21:22.834Z,Hourly,Intermediate,Canada
Web Development,1990455230821103587,~021990455230821103587,50.0,Georgia,2025-11-17T16:21:22.834Z,Hourly,Intermediate,Ireland
Web Development,1990455230821103587,~021990455230821103587,50.0,Georgia,2025-11-17T16:21:22.834Z,Hourly,Intermediate,New Zealand
Web Development,1990455230821103587,~021990455230821103587,50.0,Georgia,2025-11-17T16:21:22.834Z,Hourly,Intermediate,United Kingdom
Web Development,1990455230821103587,~021990455230821103587,50.0,Georgia,2025-11-17T16:21:22.834Z,Hourly,Intermediate,United States
Web Development,1990385662958903041,~021990385662958903041,50.0,Georgia,2025-11-17T11:44:56.599Z,Hourly,Intermediate,United States
Web Development,1990385662958903041,~021990385662958903041,50.0,Georgia,2025-11-17T11:44:56.599Z,Hourly,Intermediate,United Kingdom
Web Development,1990385662958903041,~021990385662958903041,50.0,Georgia,2025-11-17T11:44:56.599Z,Hourly,Intermediate,Canada
Web Development,1990385662958903041,~021990385662958903041,50.0,Georgia,2025-11-17T11:44:56.599Z,Hourly,Intermediate,Australia
Web Development,1990385662958903041,~021990385662958903041,50.0,Georgia,2025-11-17T11:44:56.599Z,Hourly,Intermediate,New Zealand
Web Development,1990385662958903041,~021990385662958903041,50.0,Georgia,2025-11-17T11:44:56.599Z,Hourly,Intermediate,Ireland
Web Development,1970284257642868228,~021970284257642868228,,Canada,2025-09-23T00:29:08.001Z,Hourly,Expert,Nigeria
Web Development,1970284257642868228,~021970284257642868228,,Canada,2025-09-23T00:29:08.001Z,Hourly,Expert,Canada
Web Development,1990177361686779203,~021990177361686779203,25.0,Germany,2025-11-16T21:57:13.628Z,Hourly,Intermediate,Ukraine
Web Development,1989384850574661656,~021989384850574661656,,United Kingdom,2025-11-14T17:28:04.335Z,Hourly,Intermediate,India
Web Development,1989384850574661656,~021989384850574661656,,United Kingdom,2025-11-14T17:28:04.335Z,Hourly,Intermediate,Pakistan
Web Development,1989384850574661656,~021989384850574661656,,United Kingdom,2025-11-14T17:28:04.335Z,Hourly,Intermediate,Bangladesh
Web Development,1989384850574661656,~021989384850574661656,,United Kingdom,2025-11-14T17:28:04.335Z,Hourly,Intermediate,Australia
Web Development,1989384850574661656,~021989384850574661656,,United Kingdom,2025-11-14T17:28:04.335Z,Hourly,Intermediate,Mauritius
Web Development,1989384850574661656,~021989384850574661656,,United Kingdom,2025-11-14T17:28:04.335Z,Hourly,Intermediate,"Bonaire, Sint Eustatius and Saba"
Web Development,1985246686039014008,~021985246686039014008,32.5,India,2025-11-03T07:24:28.973Z,Hourly,Expert,India
Web Development,1988684326647405980,~021988684326647405980,,United Arab Emirates,2025-11-12T19:04:26.386Z,Fixed,Expert,China
Web Development,1988684326647405980,~021988684326647405980,,United Arab Emirates,2025-11-12T19:04:26.386Z,Fixed,Expert,India
Web Development,1988684326647405980,~021988684326647405980,,United Arab Emirates,2025-11-12T19:04:26.386Z,Fixed,Expert,Philippines
Web Development,1988684326647405980,~021988684326647405980,,United Arab Emirates,2025-11-12T19:04:26.386Z,Fixed,Expert,United Arab Emirates
Web Development,1989732510167790018,~021989732510167790018,22.5,Canada,2025-11-15T16:29:32.808Z,Hourly,Intermediate,Canada
Web Development,1989732510167790018,~021989732510167790018,22.5,Canada,2025-11-15T16:29:32.808Z,Hourly,Intermediate,India
Mobile Development,1989588552912721944,~021989588552912721944,10.5,India,2025-11-15T06:57:30.716Z,Hourly,Intermediate,India
Web Development,1950613419808780418,~021950613419808780418,500.0,United States,2025-07-30T17:44:14.830Z,Fixed,Expert,Argentina
Web Development,1950613419808780418,~021950613419808780418,500.0,United States,2025-07-30T17:44:14.830Z,Fixed,Expert,Bolivia
Web Development,1950613419808780418,~021950613419808780418,500.0,United States,2025-07-30T17:44:14.830Z,Fixed,Expert,Canada
Web Development,1950613419808780418,~021950613419808780418,500.0,United States,2025-07-30T17:44:14.830Z,Fixed,Expert,Colombia
Web Development,1950613419808780418,~021950613419808780418,500.0,United States,2025-07-30T17:44:14.830Z,Fixed,Expert,Ecuador
Web Development,1950613419808780418,~021950613419808780418,500.0,United States,2025-07-30T17:44:14.830Z,Fixed,Expert,El Salvador
Web Development,1950613419808780418,~021950613419808780418,500.0,United States,2025-07-30T17:44:14.830Z,Fixed,Expert,Guatemala
Web Development,1950613419808780418,~021950613419808780418,500.0,United States,2025-07-30T17:44:14.830Z,Fixed,Expert,Mexico
Web Development,1950613419808780418,~021950613419808780418,500.0,United States,2025-07-30T17:44:14.830Z,Fixed,Expert,Panama
Web Development,1950613419808780418,~021950613419808780418,500.0,United States,2025-07-30T17:44:14.830Z,Fixed,Expert,Paraguay
Web Development,1950613419808780418,~021950613419808780418,500.0,United States,2025-07-30T17:44:14.830Z,Fixed,Expert,Peru
Web Development,1950613419808780418,~021950613419808780418,500.0,United States,2025-07-30T17:44:14.830Z,Fixed,Expert,Venezuela
Web Development,1988648703134804283,~021988648703134804283,15.0,Ukraine,2025-11-12T16:42:53.080Z,Hourly,Intermediate,Ukraine
Web Development,1983632889788376496,~021983632889788376496,160.0,United States,2025-10-29T20:31:49.929Z,Fixed,Entry Level,Ethiopia
Web Development,1983632889788376496,~021983632889788376496,160.0,United States,2025-10-29T20:31:49.929Z,Fixed,Entry Level,Central African Republic
Web Development,1983632889788376496,~021983632889788376496,160.0,United States,2025-10-29T20:31:49.929Z,Fixed,Entry Level,South Africa
Web Development,1983632889788376496,~021983632889788376496,160.0,United States,2025-10-29T20:31:49.929Z,Fixed,Entry Level,Kenya
Web Development,1983632889788376496,~021983632889788376496,160.0,United States,2025-10-29T20:31:49.929Z,Fixed,Entry Level,Indonesia
Web Development,1983632889788376496,~021983632889788376496,160.0,United States,2025-10-29T20:31:49.929Z,Fixed,Entry Level,Philippines
Web Development,1983632889788376496,~021983632889788376496,160.0,United States,2025-10-29T20:31:49.929Z,Fixed,Entry Level,Egypt
Web Development,1987002142355146524,~021987002142355146524,,United States,2025-11-08T03:40:02.351Z,Hourly,Expert,United States
DevOps & Solution Architecture,1978455057910109934,~021978455057910109934,25.0,France,2025-10-15T13:36:58.588Z,Hourly,Intermediate,Tunisia
Web Development,1979601231295668473,~021979601231295668473,60.0,United States,2025-10-18T17:31:27.648Z,Hourly,Intermediate,United States
Mobile Development,1990338544255472889,~021990338544255472889,30.0,Canada,2025-11-17T08:37:42.571Z,Hourly,Intermediate,France
Mobile Development,1990338544255472889,~021990338544255472889,30.0,Canada,2025-11-17T08:37:42.571Z,Hourly,Intermediate,Canada
DevOps & Solution Architecture,1986934967179200284,~021986934967179200284,25.0,United States,2025-11-07T23:13:06.553Z,Hourly,Intermediate,Argentina
DevOps & Solution Architecture,1986934967179200284,~021986934967179200284,25.0,United States,2025-11-07T23:13:06.553Z,Hourly,Intermediate,Colombia
DevOps & Solution Architecture,1986934967179200284,~021986934967179200284,25.0,United States,2025-11-07T23:13:06.553Z,Hourly,Intermediate,Mexico
DevOps & Solution Architecture,1986934967179200284,~021986934967179200284,25.0,United States,2025-11-07T23:13:06.553Z,Hourly,Intermediate,Brazil
Ecommerce Development,1973709976716335845,~021973709976716335845,21.0,Ireland,2025-10-02T11:21:43.088Z,Hourly,Intermediate,Poland
Ecommerce Development,1973709976716335845,~021973709976716335845,21.0,Ireland,2025-10-02T11:21:43.088Z,Hourly,Intermediate,Ukraine
Web Development,1976975944444607779,~021976975944444607779,21.0,Morocco,2025-10-11T11:39:30.460Z,Hourly,Intermediate,Morocco
Web Development,1976975944444607779,~021976975944444607779,21.0,Morocco,2025-10-11T11:39:30.460Z,Hourly,Intermediate,India
Web & Mobile Design,1989010584157592988,~021989010584157592988,29.0,United States,2025-11-13T16:40:52.210Z,Hourly,Expert,Ukraine
Web & Mobile Design,1989010584157592988,~021989010584157592988,29.0,United States,2025-11-13T16:40:52.210Z,Hourly,Expert,Brazil
Web Development,1990378474432455240,~021990378474432455240,,United Kingdom,2025-11-17T11:16:22.682Z,Hourly,Intermediate,United Kingdom
Web Development,1989584942159189315,~021989584942159189315,11.5,India,2025-11-15T06:43:09.815Z,Hourly,Intermediate,India
Web Development,1977783832171473207,~021977783832171473207,,Bahrain,2025-10-13T17:09:45.900Z,Fixed,Intermediate,India
Web Development,1977783832171473207,~021977783832171473207,,Bahrain,2025-10-13T17:09:45.900Z,Fixed,Intermediate,Sri Lanka
Web Development,1981748718944198388,~021981748718944198388,50.0,United States,2025-10-24T15:44:48.612Z,Hourly,Intermediate,United States
Scripts & Utilities,1972427637023065277,~021972427637023065277,,United Kingdom,2025-09-28T22:26:09.576Z,Fixed,Expert,South Africa
Scripts & Utilities,1971294575098045600,~021971294575098045600,22.5,United Kingdom,2025-09-25T19:23:46.466Z,Hourly,Intermediate,United Kingdom
Web Development,1983579302213255732,~021983579302213255732,25.0,India,2025-10-29T16:58:53.725Z,Hourly,Intermediate,United Arab Emirates
Web Development,1990744038302384507,~021990744038302384507,,Israel,2025-11-18T11:28:59.914Z,Hourly,Intermediate,Albania
Web Development,1990744038302384507,~021990744038302384507,,Israel,2025-11-18T11:28:59.914Z,Hourly,Intermediate,Algeria
Web Development,1990744038302384507,~021990744038302384507,,Israel,2025-11-18T11:28:59.914Z,Hourly,Intermediate,Armenia
Web Development,1990744038302384507,~021990744038302384507,,Israel,2025-11-18T11:28:59.914Z,Hourly,Intermediate,Hungary
Web Development,1990744038302384507,~021990744038302384507,,Israel,2025-11-18T11:28:59.914Z,Hourly,Intermediate,Latvia
Web Development,1990744038302384507,~021990744038302384507,,Israel,2025-11-18T11:28:59.914Z,Hourly,Intermediate,Moldova
Web Development,1990744038302384507,~021990744038302384507,,Israel,2025-11-18T11:28:59.914Z,Hourly,Intermediate,Romania
Web Development,1990744038302384507,~021990744038302384507,,Israel,2025-11-18T11:28:59.914Z,Hourly,Intermediate,Serbia
Web Development,1990744038302384507,~021990744038302384507,,Israel,2025-11-18T11:28:59.914Z,Hourly,Intermediate,Slovakia
Web Development,1990744038302384507,~021990744038302384507,,Israel,2025-11-18T11:28:59.914Z,Hourly,Intermediate,Slovenia
Web Development,1990744038302384507,~021990744038302384507,,Israel,2025-11-18T11:28:59.914Z,Hourly,Intermediate,Ukraine
Ecommerce Development,1989022256313730560,~021989022256313730560,20.0,Singapore,2025-11-13T17:27:15.110Z,Hourly,Expert,Argentina
Ecommerce Development,1989022256313730560,~021989022256313730560,20.0,Singapore,2025-11-13T17:27:15.110Z,Hourly,Expert,Bangladesh
Ecommerce Development,1989022256313730560,~021989022256313730560,20.0,Singapore,2025-11-13T17:27:15.110Z,Hourly,Expert,Brazil
Ecommerce Development,1989022256313730560,~021989022256313730560,20.0,Singapore,2025-11-13T17:27:15.110Z,Hourly,Expert,Czech Republic
Ecommerce Development,1989022256313730560,~021989022256313730560,20.0,Singapore,2025-11-13T17:27:15.110Z,Hourly,Expert,India
Ecommerce Development,1989022256313730560,~021989022256313730560,20.0,Singapore,2025-11-13T17:27:15.110Z,Hourly,Expert,Indonesia
Ecommerce Development,1989022256313730560,~021989022256313730560,20.0,Singapore,2025-11-13T17:27:15.110Z,Hourly,Expert,Pakistan
Ecommerce Development,1989022256313730560,~021989022256313730560,20.0,Singapore,2025-11-13T17:27:15.110Z,Hourly,Expert,Philippines
Ecommerce Development,1989022256313730560,~021989022256313730560,20.0,Singapore,2025-11-13T17:27:15.110Z,Hourly,Expert,Romania
Ecommerce Development,1989022256313730560,~021989022256313730560,20.0,Singapore,2025-11-13T17:27:15.110Z,Hourly,Expert,Slovakia
Ecommerce Development,1989022256313730560,~021989022256313730560,20.0,Singapore,2025-11-13T17:27:15.110Z,Hourly,Expert,Slovenia
